853.50ms  28.544us              (1 1 1)         (1 1 1)         8        0B        0B         -           -  TITAN X (Pascal         1        14  clock_block(long*, long) [287]
853.58ms  24.609us              (2 3 1)       (128 1 1)       120  12.250KB        0B         -           -  TITAN X (Pascal         1        15  maxwell_sgemm_128x64_raggedMn_nn [315]
853.64ms  24.449us              (2 3 1)       (128 1 1)       120  12.250KB        0B         -           -  TITAN X (Pascal         1        16  maxwell_sgemm_128x64_raggedMn_nn [343]
853.69ms  20.993us              (2 3 1)       (128 1 1)       120  12.250KB        0B         -           -  TITAN X (Pascal         1        15  maxwell_sgemm_128x64_raggedMn_nn [370]
853.74ms  21.025us              (2 3 1)       (128 1 1)       120  12.250KB        0B         -           -  TITAN X (Pascal         1        16  maxwell_sgemm_128x64_raggedMn_nn [397]
853.79ms  21.025us              (2 3 1)       (128 1 1)       120  12.250KB        0B         -           -  TITAN X (Pascal         1        15  maxwell_sgemm_128x64_raggedMn_nn [424]
853.85ms  20.993us              (2 3 1)       (128 1 1)       120  12.250KB        0B         -           -  TITAN X (Pascal         1        16  maxwell_sgemm_128x64_raggedMn_nn [451]
853.90ms  20.961us              (2 3 1)       (128 1 1)       120  12.250KB        0B         -           -  TITAN X (Pascal         1        15  maxwell_sgemm_128x64_raggedMn_nn [478]
853.95ms  21.056us              (2 3 1)       (128 1 1)       120  12.250KB        0B         -           -  TITAN X (Pascal         1        16  maxwell_sgemm_128x64_raggedMn_nn [505]
854.00ms  21.057us              (2 3 1)       (128 1 1)       120  12.250KB        0B         -           -  TITAN X (Pascal         1        15  maxwell_sgemm_128x64_raggedMn_nn [532]
854.05ms  20.993us              (2 3 1)       (128 1 1)       120  12.250KB        0B         -           -  TITAN X (Pascal         1        16  maxwell_sgemm_128x64_raggedMn_nn [559]
854.10ms  20.993us              (2 3 1)       (128 1 1)       120  12.250KB        0B         -           -  TITAN X (Pascal         1        15  maxwell_sgemm_128x64_raggedMn_nn [586]
